
query,description,table,joins
SELECT * FROM customers WHERE social_distancing_score = 10,This query retrieves all columns from the customers table with specific filtering conditions.,customers,
"SELECT order_id, drive_through_pickup FROM no_contact_orders WHERE drive_through_pickup = true",This query selects specific columns from the no_contact_orders table with specific filtering conditions.,no_contact_orders,
SELECT * FROM products WHERE n95_mask_equivalent = true,This query retrieves all columns from the products table with specific filtering conditions.,products,
"SELECT customer_id, vaccination_status_emoji FROM health_customers WHERE vaccination_status_emoji IS NOT NULL",This query selects specific columns from the health_customers table with specific filtering conditions.,health_customers,
SELECT * FROM orders WHERE delivered_to_car = true,This query retrieves all columns from the orders table with specific filtering conditions.,orders,
"SELECT product_name, disinfectant_rating FROM cleaning_products WHERE disinfectant_rating > 9",This query selects specific columns from the cleaning_products table with specific filtering conditions.,cleaning_products,
SELECT * FROM customers WHERE quarantine_duration_days > 14,This query retrieves all columns from the customers table with specific filtering conditions.,customers,
"SELECT order_id, temperature_check_required FROM health_screening_orders WHERE temperature_check_required = true",This query selects specific columns from the health_screening_orders table with specific filtering conditions.,health_screening_orders,
SELECT * FROM products WHERE immune_system_boost_claim = true,This query retrieves all columns from the products table with specific filtering conditions.,products,
"SELECT customer_id, work_pajamas_purchase_count FROM comfort_clothing WHERE work_pajamas_purchase_count > 5",This query selects specific columns from the comfort_clothing table with specific filtering conditions.,comfort_clothing,
SELECT * FROM orders WHERE apocalypse_preparedness_score > 75,This query retrieves all columns from the orders table with specific filtering conditions.,orders,
"SELECT product_name, zombie_survival_rating FROM emergency_supplies WHERE zombie_survival_rating > 8",This query selects specific columns from the emergency_supplies table with specific filtering conditions.,emergency_supplies,
SELECT * FROM customers WHERE cabin_fever_intensity = 'maximum',This query retrieves all columns from the customers table with specific filtering conditions.,customers,
"SELECT order_id, virtual_hug_included FROM emotional_support_orders WHERE virtual_hug_included = true",This query selects specific columns from the emotional_support_orders table with specific filtering conditions.,emotional_support_orders,
SELECT * FROM products WHERE binge_watching_compatible = true,This query retrieves all columns from the products table with specific filtering conditions.,products,
"SELECT customer_id, outdoor_activity_withdrawal_score FROM indoor_customers WHERE outdoor_activity_withdrawal_score > 9",This query selects specific columns from the indoor_customers table with specific filtering conditions.,indoor_customers,
SELECT * FROM orders WHERE delivered_by_drone AND social_distancing_compliant = true,This query retrieves all columns from the orders table with specific filtering conditions.,orders,
"SELECT product_name, stress_relief_effectiveness FROM wellness_products WHERE stress_relief_effectiveness > 0.85",This query selects specific columns from the wellness_products table with specific filtering conditions.,wellness_products,
SELECT * FROM customers WHERE online_shopping_addiction_level = 'severe',This query retrieves all columns from the customers table with specific filtering conditions.,customers,
"SELECT order_id, package_disinfection_service FROM premium_delivery WHERE package_disinfection_service = true",This query selects specific columns from the premium_delivery table with specific filtering conditions.,premium_delivery,
SELECT * FROM products WHERE home_gym_equipment = true AND space_efficient = true,This query retrieves all columns from the products table with specific filtering conditions.,products,
"SELECT customer_id, video_call_fashion_score FROM remote_work_style WHERE video_call_fashion_score > 8",This query selects specific columns from the remote_work_style table with specific filtering conditions.,remote_work_style,
SELECT * FROM orders WHERE comfort_food_classification IS NOT NULL,This query retrieves all columns from the orders table with specific filtering conditions.,orders,
"SELECT product_name, indoor_plant_care_difficulty FROM plant_products WHERE indoor_plant_care_difficulty = 'easy'",This query selects specific columns from the plant_products table with specific filtering conditions.,plant_products,
SELECT * FROM customers WHERE bread_making_skill_level > 5,This query retrieves all columns from the customers table with specific filtering conditions.,customers,
"SELECT order_id, mental_health_support_resources FROM wellness_orders WHERE mental_health_support_resources = true",This query selects specific columns from the wellness_orders table with specific filtering conditions.,wellness_orders,
SELECT * FROM products WHERE productivity_enhancement_claim = true,This query retrieves all columns from the products table with specific filtering conditions.,products,
"SELECT customer_id, conspiracy_theory_susceptibility FROM misinformation_tracking WHERE conspiracy_theory_susceptibility < 0.2",This query selects specific columns from the misinformation_tracking table with specific filtering conditions.,misinformation_tracking,
SELECT * FROM orders WHERE fact_checked = true AND misinformation_flagged = false,This query retrieves all columns from the orders table with specific filtering conditions.,orders,
"SELECT product_name, social_media_detox_compatibility FROM digital_wellness WHERE social_media_detox_compatibility = true",This query selects specific columns from the digital_wellness table with specific filtering conditions.,digital_wellness,
SELECT * FROM customers WHERE screen_time_daily_hours > 12,This query retrieves all columns from the customers table with specific filtering conditions.,customers,
